STT,Đầu mục công việc,Người thực hiện,Deadline,Trạng thái,Ghi chú
1,Tham gia đào tạo & phong trào công ty - nâng cao kỹ năng mềm,All Team,Liên tục,Not Started,Yêu cầu chung từ Mr. Nha.
2,Follow thanh toán & cung ứng với nhà mạng VNPT,Hải,—,Not Started,Tiếp tục theo dõi tiến độ thanh toán và ký kết hợp đồng cung ứng với VNPT.
3,Phối hợp kế toán hoàn tất thủ tục mua bán,Hải,—,Not Started,Làm việc trực tiếp với phòng kế toán để hoàn thiện hồ sơ mua bán thiết bị.
4,Follow Mr. Jang về Power BI & Support User,Thực,—,Not Started,Theo sát yêu cầu từ ông Jang liên quan đến Power BI; tiếp tục hỗ trợ người dùng.
5,Lấy dữ liệu từ 2 máy phân loại Aging cỡ trung,Đức - Trường,—,Not Started,Tìm giải pháp kỹ thuật để kết nối và thu thập dữ liệu từ 2 máy phân cấp Aging cỡ trung.
6,Follow & Đào tạo Groupware cùng Mr. Mạnh,Đức,—,Not Started,Đức làm việc theo sát Mr. Mạnh để học và được đào tạo về hệ thống Groupware.
7,Liên hệ Mr. Điệp kiểm tra dây tại line chưa có dữ liệu,Đức,—,Not Started,Kiểm tra tình trạng hạ tầng cáp của các dây chuyền chưa có dữ liệu lên hệ thống.
8,Thiết kế thêm cột Transfer trong Job thiết bị máy tính,Triều,—,Not Started,Thêm cột ghi nhận nguồn gốc thiết bị và lý do transfer trong ứng dụng quản lý máy tính.
9,Lên danh sách Switch tại nhà máy Bắc Giang 1,Hải - Đức,—,Not Started,Kiểm kê và lập danh sách toàn bộ switch đang hoạt động trong nhà máy BG1.
10,Tạo checklist restart Switch định kỳ 10 ngày/lần,Hải - Đức,Mỗi 10 ngày,Not Started,Xây dựng quy trình và checklist để restart switch định kỳ đảm bảo ổn định mạng.
